villageCode,villageNameEnglish,villageNameLocal,villageCensus2011Code,subdistrictCode,subdistrictNameEnglish,subdistrictNameLocal,subdistrictCensus2011Code,districtCode,districtNameEnglish,districtNameLocal,districtCensus2011Code,stateCode,stateNameEnglish,stateNameLocal,stateCensus2011Code,data_gov_update_date
573271,Shapur,షాపూర్,573271,4472,Raikode,రాయకోడ్,04472,691,Sangareddy,సంగారెడ్డి,000,36,Telangana,తెలంగాణ,00,28-12-2025
572746,Shapur,శాపూర్,572746,6280,Nagalgidda,నాగల్ గిద్ద,00000,691,Sangareddy,సంగారెడ్డి,000,36,Telangana,తెలంగాణ,00,28-12-2025
578190,Shatapuram,సాతాపూర్,578190,4697,Palakurthy,పాలకుర్తి,04697,689,Jangoan,జనగాం,000,36,Telangana,తెలంగాణ,00,28-12-2025
571957,Shatharajpalli,శాత్రాజ్ పల్లి,571957,4406,Mutharam (Manthani),ముత్తారం(మంథని),04406,682,Peddapalli,పెద్దపల్లి,000,36,Telangana,తెలంగాణ,00,28-12-2025
571515,Shatpalle,శెట్పల్లి,571515,4388,Lingampet,లింగంపేట్,04388,685,Kamareddy,కామారెడ్డి,000,36,Telangana,తెలంగాణ,00,28-12-2025
578080,Shayampet,శాయంపేట,578080,4691,Shayampet,శాయంపేట్,04691,686,Hanumakonda,హనుమకొండ,000,36,Telangana,తెలంగాణ,00,28-12-2025
571078,Shekhapur,శేఖాపూర్,571078,4372,Madnoor,మద్నూర్,04372,685,Kamareddy,కామారెడ్డి,000,36,Telangana,తెలంగాణ,00,28-12-2025
909819,Sheshammagudem,శేశామ్మగుడెం,000000,4646,Nalgonda,నల్లగొండ,04646,514,Nalgonda,నల్గొండ,539,36,Telangana,తెలంగాణ,00,28-12-2025
570815,Shetpalle,శెట్ పల్లి,570815,4362,Morthad,మోర్తాడ్,04362,516,Nizamabad,నిజామాబాదు,533,36,Telangana,తెలంగాణ,00,28-12-2025
570141,Shivani,శివుని,570141,4338,Kubeer,కుబీర్,04338,680,Nirmal,నిర్మల్,000,36,Telangana,తెలంగాణ,00,28-12-2025
569408,Shivapalle,శీవపల్లి,569408,6314,Chintalamanepally,చింతాల మానెపల్లి,00000,699,Kumuram Bheem Asifabad,కుమురం భీమ్ ఆసిఫాబాద్,000,36,Telangana,తెలంగాణ,00,28-12-2025
577921,Shivapuram,శివపురం,577921,4685,Eturunagaram,ఏటూర్ నాగారం,04685,720,Mulugu,ములుగు,000,36,Telangana,తెలంగాణ,00,28-12-2025
575906,Shukurlingampalle,సుకూర్ లింగంపల్లి,575906,6264,Krishna,క్రిష్ణ,00000,721,Narayanpet,నారాయణ్ పేట్,000,36,Telangana,తెలంగాణ,00,28-12-2025
571542,Siddapur,సిద్దాపూర్,571542,6241,Rajampet,రాజంపెట్,00000,685,Kamareddy,కామారెడ్డి,000,36,Telangana,తెలంగాణ,00,28-12-2025
570972,Siddapur,సిద్దాపూర్,570972,4370,Bodhan,బోధన్,04370,516,Nizamabad,నిజామాబాదు,533,36,Telangana,తెలంగాణ,00,28-12-2025
571218,Siddapur,సిద్దాపుర్,571218,4376,Varni,వర్ని,04376,516,Nizamabad,నిజామాబాదు,533,36,Telangana,తెలంగాణ,00,28-12-2025
